index_str,p,seed,n_nodes,n_neighbors,transitivity,avg_length,sigma,hub_ness,ipr_rho,ipr_O,ipr_eigenvector,variance_rho,variance_O,variance_eigenvector,k_avg,avg_clustering,eigenvalues,weighted_k_avg,weighted_clustering
p0.001_n20_k4_seed0,0.001,0,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.001_n20_k4_seed1,0.001,1,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.001_n20_k4_seed2,0.001,2,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.001_n20_k4_seed3,0.001,3,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.001_n20_k4_seed4,0.001,4,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.001_n20_k4_seed5,0.001,5,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.001_n20_k4_seed6,0.001,6,20,4,1.03125,1.1368421052631579,1.8789704052580258,1.2195121951219514,0.050000096634602455,0.05000074565070263,(0.07500000000000001+0j),3.0507465201181625e-11,1.503955934299094e-06,0.05000000000000001,4.1,0.5166666666666666,"[-6.778434239157548, -6.236067977499783, -6.19538045617635, -6.0, -5.804210190271158, -5.7936044933348425, -5.555870137888032, -5.000000000000004, -5.0, -4.999999999999998, -4.520157341024204, -4.28407904384041, -4.0805171957065, -3.613171251044928, -3.442463484164953, -1.9222992291938656, -1.7639320225002064, -0.5299599595374107, -0.47985297865979787, 0.0]","[4.664378182854815, 4.180901699437497, 4.017289995577936, 4.099999999999997, 4.0053471076261875, 4.195105651629513, 4.152644777120253, 4.0249999999999995, 4.076923978993101, 4.050734783300796, 4.054978784313503, 4.041221474770753, 4.012442692969526, 4.031605350663787, 4.004894348370485, 4.046219601490773, 4.069098300562506, 4.015093507383222, 4.1587785252292475, 4.1]","[0.5069096050951006, 0.5115163834270844, 0.5088803252910463, 0.5166666666666663, 0.5405613550948103, 0.5068702457951253, 0.5107921002161977, 0.5354166666666664, 0.5003596868815182, 0.5312842490766655, 0.5302018973663217, 0.5008157247284141, 0.5006059332850651, 0.5223358275735127, 0.5264630875382079, 0.5040003664139971, 0.5301502832395826, 0.5007125896639486, 0.5325176086049191, 0.5166666666666666]"
p0.001_n20_k4_seed7,0.001,7,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.0011513953993264468_n20_k4_seed0,0.0011513953993264468,0,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
p0.0011513953993264468_n20_k4_seed1,0.0011513953993264468,1,20,4,1.0,1.1578947368421053,1.8662871318831793,1.0,0.050000098110631656,0.05000072926937473,(0.07499999999999997+0j),3.096896283883376e-11,1.4705636791910684e-06,0.05,4.0,0.5,"[-6.2360679774998, -6.236067977499785, -6.000000000000003, -5.9999999999999964, -5.793604493334841, -5.793604493334835, -5.000000000000002, -5.000000000000002, -5.0, -4.999999999999999, -4.2840790438404115, -4.284079043840409, -4.000000000000009, -3.442463484164959, -3.442463484164957, -1.7639320225002142, -1.763932022500213, -0.47985297865979915, -0.47985297865979787, 6.661338147750939e-16]","[4.0, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 4.0, 3.999999999999999, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.5, 0.4999999999999999, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
