index_str,p,seed,n_nodes,n_neighbors,transitivity,avg_length,sigma,hub_ness,ipr_rho,ipr_O,ipr_eigenvector,variance_rho,variance_O,variance_eigenvector,k_avg,avg_clustering,eigenvalues,weighted_k_avg,weighted_clustering,entropy_rho,entropy_O,weighted_k_avg_rho,weighted_clustering_rho,weighted_k_avg_O,weighted_clustering_O
p0.0_n40_k4_seed0,0.0,0,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.0_n40_k4_seed1,0.0,1,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.0_n40_k4_seed2,0.0,2,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.0_n40_k4_seed3,0.0,3,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.0_n40_k4_seed4,0.0,4,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.0_n40_k4_seed5,0.0,5,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.0_n40_k4_seed6,0.0,6,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.0_n40_k4_seed7,0.0,7,40,4,1.0,1.076923076923077,2.470895186911989,1.0,0.025008434427871328,0.02510504895044747,0.03749999999999998,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.0,0.5,"[-6.236067977499806, -6.236067977499805, -6.21498196267079, -6.214981962670761, -6.08355150406405, -6.0835515040640455, -5.999999999999997, -5.999999999999993, -5.793604493334835, -5.7936044933348345, -5.58924410250985, -5.589244102509839, -5.414213562373097, -5.414213562373093, -5.000000000000001, -5.0, -5.0, -4.999999999999998, -4.606442543791784, -4.6064425437917755, -4.2840790438404115, -4.284079043840407, -4.267589505105856, -4.267589505105854, -4.073263648599968, -4.073263648599965, -4.000000000000003, -3.4424634841649504, -3.44246348416495, -2.5857864376269117, -2.5857864376268993, -1.7639320225002113, -1.7639320225002098, -1.0424164470383217, -1.042416447038317, -0.4798529786597979, -0.4798529786597957, -0.12251028621941848, -0.12251028621941776, -5.653364272928371e-16]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.000000000000001, 4.0, 4.0, 3.9999999999999996, 4.0, 4.0, 4.0, 4.0, 4.0]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5000000000000001, 0.5, 0.5, 0.49999999999999994, 0.5, 0.5, 0.5, 0.5, 0.5]",3.6887063166434046,3.6865588748369,3.999999999999999,0.4999999999999999,4.0,0.5
p0.014492753623188406_n40_k4_seed0,0.014492753623188406,0,40,4,0.967741935483871,0.972051282051282,2.593223799319638,1.234567901234568,0.025008434427871328,0.02510504895044747,0.040549874571639895,5.511064620393754e-09,0.00048499015164257705,0.024999999999999994,4.05,0.49000000000000005,"[-7.11406540686811, -6.236067977499777, -6.227824204332273, -6.214981962670771, -6.091353827884256, -6.083551504064039, -6.047526686891552, -6.000000000000002, -5.825993260882967, -5.79360449333484, -5.597661855029148, -5.589244102509846, -5.573485899214463, -5.414213562373092, -5.167074116593784, -5.000000000000002, -5.000000000000001, -4.999999999999998, -4.653436058017923, -4.606442543791789, -4.417433318665858, -4.28407904384041, -4.283637478702303, -4.267589505105854, -4.130072581358612, -4.073263648599966, -4.022921070462146, -3.5224488505518288, -3.4424634841649446, -2.60475060182787, -2.585786437626905, -1.780362069299666, -1.7639320225002102, -1.172502600249518, -1.0424164470383201, -0.6053691350973472, -0.47985297865979754, -0.1620809780704127, -0.1225102862194173, 5.551115123125783e-16]","[4.689509283294266, 4.034549150281253, 4.0001595082662265, 4.000615582970242, 4.002363999656638, 4.09455032620941, 4.007701558460393, 4.05000000000001, 4.010757101423995, 4.079389262614626, 4.019202649367946, 4.0993844170297535, 4.033350888676873, 4.014644660940675, 4.038521731382978, 4.074999999999999, 4.012219477085893, 4.006095440803245, 4.017032400250464, 4.072699524986979, 4.038284141885487, 4.097552825814761, 4.00001934871807, 4.005449673790579, 4.0094103189363555, 4.042178276747988, 4.002080320087562, 4.018969160788017, 4.020610737385377, 4.006089881037382, 4.085355339059327, 4.007002092127449, 4.0904508497187475, 4.053921695627311, 4.027300475013022, 4.036707932110579, 4.002447174185242, 4.008915987902008, 4.057821723252011, 4.050000000000001]","[0.36209814334114676, 0.49309016994374943, 0.49996809834675476, 0.4998768834059517, 0.49952720006867224, 0.481089934758118, 0.49845968830792164, 0.489999999999998, 0.49784857971520113, 0.4841221474770748, 0.49615947012641093, 0.48012311659404927, 0.4933298222646253, 0.49707106781186505, 0.49229565372340456, 0.48500000000000026, 0.49755610458282135, 0.4987809118393509, 0.49659351994990697, 0.4854600950026041, 0.49234317162290253, 0.48048943483704787, 0.4999961302563861, 0.49891006524188425, 0.49811793621272915, 0.49156434465040244, 0.4995839359824876, 0.4962061678423965, 0.49587785252292477, 0.49878202379252373, 0.4829289321881346, 0.4985995815745102, 0.48190983005625054, 0.48921566087453766, 0.4945399049973954, 0.49265841357788437, 0.49951056516295145, 0.4982168024195984, 0.48843565534959765, 0.49000000000000005]",3.6887063166434046,3.6865588748369,4.05021069345789,0.48995786130842167,4.050743565257912,0.48985128694841756
p0.014492753623188406_n40_k4_seed1,0.014492753623188406,1,40,4,0.9090909090909091,0.7530769230769231,3.016034960828454,1.2048192771084336,0.025019669054890836,0.025253050615385138,0.043667960080714364,1.2689827355973588e-08,0.001116743535539399,0.024999999999999994,4.15,0.4699999999999999,"[-7.265364014966862, -7.06842793589883, -6.904211660043346, -6.22394130784097, -6.204313585561701, -6.1636592222996995, -6.08374379052701, -6.000000000000019, -5.930783677297918, -5.876627132487529, -5.735026544513064, -5.6814030404352875, -5.631764651409339, -5.414213562373097, -5.191580368320319, -5.000000000000009, -5.000000000000003, -5.0, -4.999999999999997, -4.636453688935531, -4.531462332390351, -4.41662049565965, -4.290383034513501, -4.2745909070113814, -4.121355354170815, -4.090015113257858, -4.071533360423831, -3.6284360592565883, -3.4922224460863793, -2.6529549502126444, -2.58578643762691, -1.9944497180337655, -1.8886615291091686, -1.1842230162666703, -1.0500348148735115, -0.6526362875954986, -0.495739231793182, -0.3646146614362027, -0.2027660673716337, -5.273559366969494e-16]","[4.72335626299966, 4.721910661580423, 4.690660293476453, 4.064552253181226, 4.101631619099127, 4.138282638257818, 4.1256009187306955, 4.149999999999988, 4.079054574595771, 4.103516374500092, 4.104438074997065, 4.047600623078003, 4.08729497041023, 4.043933982822018, 4.073873477562162, 4.174507389162558, 4.126283347923137, 4.066995732363035, 4.235118802610247, 4.087272383313418, 4.089601326013736, 4.071981062817986, 4.098679626032111, 4.073002730302114, 4.102936761070049, 4.080034461354849, 4.141926920399647, 4.08195268361853, 4.060467989967366, 4.026374086166061, 4.256066017177982, 4.07336542846183, 4.0745255572921675, 4.077300588339923, 4.185320508759194, 4.097378470050924, 4.170125772122026, 4.0865476075222835, 4.0456401904788, 4.1499999999999995]","[0.3553287474000679, 0.35561786768391573, 0.36186794130470923, 0.4870895493637549, 0.47967367618017465, 0.4723434723484364, 0.474879816253861, 0.4700000000000025, 0.48418908508084557, 0.47929672509998167, 0.47911238500058695, 0.4904798753843996, 0.48254100591795407, 0.49121320343559655, 0.48522530448756757, 0.46509852216748837, 0.47474333041537264, 0.486600853527393, 0.4529762394779506, 0.4825455233373163, 0.48207973479725286, 0.48560378743640287, 0.4802640747935777, 0.4853994539395774, 0.47941264778599013, 0.48399310772903026, 0.4716146159200707, 0.48360946327629395, 0.4879064020065268, 0.4947251827667877, 0.4487867965644037, 0.48532691430763375, 0.4850948885415663, 0.4845398823320154, 0.4629358982481612, 0.4805243059898152, 0.46597484557559465, 0.48269047849554314, 0.4908719619042399, 0.47]",3.6884773963892235,3.6833709030548367,4.145229314185986,0.47095413716280277,4.132888284931338,0.4734223430137323
